Date;Healthcare Global ETF(IXJ);MSCI World ETF (URTH);Tbill 1y (IB01.SW);Tbill 7-10y (IGTM.L);Gold ETF (SGOL);Real Estate ETF (VNQ);BTC-USD;Energy ETF (VDE);Oil ETF (HUC.TO);NYSE Composite (^NYA)
10/06/2020;68.65194702148438;92.55428314208984;5.144000053405762;5.689000129699707;16.719999313354492;77.75489807128906;9870.0947265625;52.56188201904297;9.140000343322754;12449.2197265625
11/06/2020;65.22178649902344;87.30001831054688;5.144000053405762;5.730500221252441;16.6200008392334;72.76317596435547;9321.78125;47.52106857299805;8.539999961853027;11659.169921875
12/06/2020;65.65056610107422;88.56763458251953;5.144000053405762;5.7245001792907715;16.670000076293945;75.37120819091797;9480.84375;48.850013732910156;8.630000114440918;11867.169921875
13/06/2020;;;;;;;9475.27734375;;;
14/06/2020;;;;;;;9386.7880859375;;;
15/06/2020;66.01792907714844;89.28018188476562;5.144000053405762;5.723999977111816;16.6200008392334;76.4368667602539;9450.7021484375;49.1524658203125;8.800000190734863;11942.91015625
16/06/2020;67.42256164550781;90.76589965820312;5.144000053405762;5.700500011444092;16.600000381469727;77.94184875488281;9538.0244140625;50.435585021972656;9.0;12161.4697265625
17/06/2020;67.75654602050781;90.67793273925781;5.144000053405762;5.704999923706055;16.6299991607666;76.81077575683594;9480.2548828125;48.71254348754883;8.859999656677246;12086.490234375
18/06/2020;67.46186065673828;90.60950469970703;5.144000053405762;5.7230000495910645;16.610000610351562;75.969482421875;9411.8408203125;49.19829177856445;9.020000457763672;12072.58984375
19/06/2020;68.01191711425781;90.15010833740234;5.144000053405762;5.7179999351501465;16.790000915527344;74.8664321899414;9288.0185546875;48.446754455566406;9.100000381469727;11980.1201171875
20/06/2020;;;;;;;9332.3408203125;;;
21/06/2020;;;;;;;9303.6298828125;;;
22/06/2020;68.05120849609375;90.8929672241211;5.144000053405762;5.728000164031982;16.8799991607666;74.7916488647461;9648.7177734375;48.59705352783203;9.239999771118164;12028.91015625
23/06/2020;68.37535858154297;91.2937240600586;5.145999908447266;5.71150016784668;17.030000686645508;74.48316955566406;9629.658203125;48.55994415283203;9.180000305175781;12077.740234375
24/06/2020;66.67604064941406;88.93807983398438;5.145999908447266;5.724999904632568;17.0;72.3612289428711;9313.6103515625;45.813716888427734;8.890000343322754;11726.5400390625
25/06/2020;67.34398651123047;90.06214141845703;5.145999908447266;5.733500003814697;16.959999084472656;73.28543090820312;9264.8134765625;46.66727066040039;9.029999732971191;11865.1103515625
26/06/2020;66.53852081298828;88.12680053710938;5.145999908447266;5.744500160217285;17.040000915527344;71.87882232666016;9162.91796875;45.03438186645508;8.920000076293945;11604.4296875
27/06/2020;;;;;;;9045.390625;;;
28/06/2020;;;;;;;9143.58203125;;;
29/06/2020;66.85285186767578;89.19221496582031;5.145999908447266;5.749000072479248;17.059999465942383;73.26655578613281;9190.8544921875;45.6652717590332;9.15999984741211;11777.080078125
30/06/2020;67.5600814819336;90.06214141845703;5.144999980926514;5.747000217437744;17.139999389648438;74.13507080078125;9137.9931640625;46.66727066040039;9.029999732971191;11893.7802734375
01/07/2020;67.92353057861328;90.57042694091797;5.144999980926514;5.732999801635742;17.049999237060547;75.8437728881836;9228.3251953125;45.54466247558594;;11901.5498046875
02/07/2020;68.38518524169922;91.25463104248047;5.144999980926514;5.735000133514404;17.079999923706055;75.62664031982422;9123.41015625;46.1106071472168;9.1899995803833;11991.51953125
03/07/2020;;;5.144999980926514;5.73799991607666;;;9087.3037109375;;9.239999771118164;
04/07/2020;;;;;;;9132.48828125;;;
05/07/2020;;;;;;;9073.9423828125;;;
06/07/2020;69.08259582519531;92.66216278076172;5.144999980926514;5.723499774932861;17.190000534057617;75.58888244628906;9375.474609375;46.32399368286133;9.319999694824219;12160.009765625
07/07/2020;68.44412231445312;91.6944808959961;5.144999980926514;5.731500148773193;17.299999237060547;74.08787536621094;9252.27734375;44.96015930175781;9.319999694824219;11990.1396484375
08/07/2020;68.53252410888672;92.4764404296875;5.144999980926514;5.738999843597412;17.40999984741211;73.98403930664062;9428.3330078125;44.93232727050781;9.4399995803833;12086.3896484375
09/07/2020;68.0217514038086;91.86065673828125;5.144999980926514;5.754000186920166;17.3700008392334;73.52143859863281;9277.9677734375;42.79843521118164;9.319999694824219;11928.6298828125
10/07/2020;68.03157043457031;92.78922271728516;5.144999980926514;5.756999969482422;17.31999969482422;73.7480239868164;9278.8076171875;44.10660171508789;9.449999809265137;12075.580078125
11/07/2020;;;;;;;9240.3466796875;;;
12/07/2020;;;;;;;9276.5;;;
